voice title,voice description,reference_audio,preview_image (svdq_fluxdev_fp4),SVDQ-Images,preview_audio (tts_mgm),Tags,MGM WER
Wise wizard (Senior Male),"Excellent audio quality. A senior male wizard with a deep, resonant voice that projects ancient wisdom and a touch of gentle authority. His timbre is warm and slightly gravelly, hinting at centuries of knowledge, and his delivery is measured and deliberate, often pausing for dramatic or contemplative effect, yet always maintaining a soothing and approachable rhythm.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/01_wise-old-wizard.mp3,https://s3.renderplatform.com/user-assets/preview/gr_75418a02ca6846a28800b48b84399256.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b0d1f96091374e8ba0ebab209f59eb28.mp3,"Senior, Male",
Mischievous fairy (Teenager Female),"A mischievous teenager female fairy, with a high-pitched, light, and airy voice, speaking at a very quick and flitting pace. Her tone is playful, sassy, and filled with a tinkling, whimsical energy, with excellent audio quality.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/02_mischievous-fairy.mp3,https://s3.renderplatform.com/user-assets/preview/gr_99b2ae229d23464d8acd9c9e7c476e64.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_f311a60d5e34486c847e3e07eb3c9e19.mp3,"Teen, Female",
Shadowy assassin (Middle-aged Female),"A shadowy middle-aged female assassin with studio-quality audio, whose voice is a low, guttural whisper, gravelly and precise. She speaks with a slow, deliberate pacing, maintaining a menacing yet calm and collected tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/03_shadowy-assassin.mp3,https://s3.renderplatform.com/user-assets/preview/gr_0a1f093e7068474289d23f98cc7e5662.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_49449e4d0c144c5185278070ff5de00f.mp3,"Middle-aged, Female",
Ancient dragon (senior Male),"An older male dragon whose voice is a deep, booming, and guttural rumble, reverberating with immense power and wisdom. Each word is delivered at a slow, measured, and deliberate pace, with impressive audio quality.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/04_ancient-dragon.mp3,https://s3.renderplatform.com/user-assets/preview/gr_1a1b20507d2f4224b9d3359d8423580e.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b9f0d80503894aeea6f6ac671f384474.mp3,"Senior, Male",
Dark sorcerer (Middle -aged Male),"A dark middle-aged male sorcerer with studio-quality audio, whose voice is low, raspy, and sibilant, often with a sinister, echoing quality. He speaks at a slow, deliberate pace, punctuated by menacing undertones and occasional low chuckles.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/06_dark-sorcerer.mp3,https://s3.renderplatform.com/user-assets/preview/gr_1061ef02bce34eecb664cd8afa23cb80.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_211de01417c240a6b6ce18d00b2ad3a6.mp3,"Middle-aged, Male",
Brave knight (Middle-aged Male),"A brave middle-aged male knight with excellent, clear audio quality, possessing a strong, firm, and resonant voice. He speaks at a confident and direct pace, embodying a noble, unwavering, and commanding tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/07_brave-knight.mp3,https://s3.renderplatform.com/user-assets/preview/gr_5eb52389bb7f4b02a638fc7a6bf56de6.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_cf017a29eb1342ec98c2573a23a7b92b.mp3,"Middle-aged, Male",
Talking tree (Senior Male),"An older male talking tree, whose voice is a low, rumbling, and ponderous sound, with a slightly creaking, organic reverberation. Each word is delivered at a very slow and deliberate pace, carrying a wise and earthy tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/08_talking-tree.mp3,https://s3.renderplatform.com/user-assets/preview/gr_9579f7d6fe8444a19710446f35eb5d66.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0681bc4a54bf42068934c85cdf6f7588.mp3,"Senior, Male",
Goblin trader (Teenager Male),"A teen male goblin trader with decent audio quality, whose voice is high-pitched, raspy, and nasally. He speaks at a fast, erratic, and eager pace, reflecting a cunning and greedy disposition.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/10_goblin-trader.mp3,https://s3.renderplatform.com/user-assets/preview/gr_12d019031417463b9deb3e305bc68739.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_b8bc7ea849844b788156157c8a16f06b.mp3,"Teen, Male",
Noble queen (Middle-aged Female),"A noble middle-aged female queen with excellent, regal, and clear audio quality, whose voice is authoritative, elegant, and warm yet firm. She speaks at a measured, composed, and articulate pace, embodying a graceful and commanding tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/11_noble-queen.mp3,https://s3.renderplatform.com/user-assets/preview/gr_855a02b0769748a2b0e9e4d3514f9dce.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_54011f642f564a5ba6fbccef5cceb84e.mp3,"Middle-aged, Female",
Young squire (Teenager Male),"An adolescent male squire with clear, bright audio quality, whose voice is energetic, earnest, and slightly higher in pitch. He speaks at a natural pace, sometimes quick with excitement, reflecting his eager and well-meaning character.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/12_young-squire.mp3,https://s3.renderplatform.com/user-assets/preview/gr_4c1f4727c01140d4af06052c675d2ce5.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_12e386abd2514b8fb907fe2f67b9e6e4.mp3,"Teen, Male",
