voice title,voice description,reference_audio,,SVDQ-Images,mgm_preview_audio,tts_preview_audio,Tags,MGM WER,TTS WER
Wise wizard (Senior Male),"Excellent audio quality. A senior male wizard with a deep, resonant voice that projects ancient wisdom and a touch of gentle authority. His timbre is warm and slightly gravelly, hinting at centuries of knowledge, and his delivery is measured and deliberate, often pausing for dramatic or contemplative effect, yet always maintaining a soothing and approachable rhythm.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/01_wise-old-wizard.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_6fe7d6c1992645d5bf3d2fecb191115e.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_c7a604d17bf3499390300f6767ab2a6d.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_01_wise-old-wizard_1.mp3,"Senior, Male",,
Mischievous fairy (Teenager Female),"A mischievous teenager female fairy, with a high-pitched, light, and airy voice, speaking at a very quick and flitting pace. Her tone is playful, sassy, and filled with a tinkling, whimsical energy, with excellent audio quality.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/02_mischievous-fairy.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_11d114b8fce6484b85b7a1fa5f67413a.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_ba7da672b2eb47afb493ca1030d0fbff.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_02_mischievous-fairy_1.mp3,"Teen, Female",,
Shadowy assassin (Middle-aged Female),"A shadowy middle-aged female assassin with studio-quality audio, whose voice is a low, guttural whisper, gravelly and precise. She speaks with a slow, deliberate pacing, maintaining a menacing yet calm and collected tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/03_shadowy-assassin.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_7ca1fd5895214923a1a4e05bce1c766d.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_8459e0ed4dd14868ac027a986ebf443f.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_03_shadowy-assassin_1.mp3,"Middle-aged, Female",,
Ancient dragon (senior Male),"An older male dragon whose voice is a deep, booming, and guttural rumble, reverberating with immense power and wisdom. Each word is delivered at a slow, measured, and deliberate pace, with impressive audio quality.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/04_ancient-dragon.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_d9afaca546b64eb9a9d5ed8de1042913.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_f12dd7c0a96f4959895a85ed28eef174.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_04_ancient-dragon_1.mp3,"Senior, Male",,
Dark sorcerer (Middle -aged Male),"A dark middle-aged male sorcerer with studio-quality audio, whose voice is low, raspy, and sibilant, often with a sinister, echoing quality. He speaks at a slow, deliberate pace, punctuated by menacing undertones and occasional low chuckles.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/06_dark-sorcerer.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_128972a31cfb44d496209e8bf2215912.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_86a0e6848f13412ba464d0a8662ebbbd.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_06_dark-sorcerer_1.mp3,"Middle-aged, Male",,
Brave knight (Middle-aged Male),"A brave middle-aged male knight with excellent, clear audio quality, possessing a strong, firm, and resonant voice. He speaks at a confident and direct pace, embodying a noble, unwavering, and commanding tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/07_brave-knight.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_9c74240b0d4640628ca0bbe0173df1e4.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_8268bde78fdc49ae83758c58ffe85750.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_07_brave-knight_1.mp3,"Middle-aged, Male",,
Talking tree (Senior Male),"An older male talking tree, whose voice is a low, rumbling, and ponderous sound, with a slightly creaking, organic reverberation. Each word is delivered at a very slow and deliberate pace, carrying a wise and earthy tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/08_talking-tree.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_831a9c72553c4a12a04bd76e2e8bb7db.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_db3b489c6e494700ac7f476f27a9ee24.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_08_talking-tree_1.mp3,"Senior, Male",,
Goblin trader (Teenager Male),"A teen male goblin trader with decent audio quality, whose voice is high-pitched, raspy, and nasally. He speaks at a fast, erratic, and eager pace, reflecting a cunning and greedy disposition.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/10_goblin-trader.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_31a1214d501540cd9a189895829ed19b.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_f20e647c47f0427c912b1697ebb9aec6.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_10_goblin-trader_1.mp3,"Teen, Male",,
Noble queen (Middle-aged Female),"A noble middle-aged female queen with excellent, regal, and clear audio quality, whose voice is authoritative, elegant, and warm yet firm. She speaks at a measured, composed, and articulate pace, embodying a graceful and commanding tone.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/11_noble-queen.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_8441292808604c7586332b8dafd98af6.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0ccf7d062eec44e29d0d1263f299ea6f.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_11_noble-queen_1.mp3,"Middle-aged, Female",,
Young squire (Teenager Male),"An adolescent male squire with clear, bright audio quality, whose voice is energetic, earnest, and slightly higher in pitch. He speaks at a natural pace, sometimes quick with excitement, reflecting his eager and well-meaning character.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/12_young-squire.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_816ed610edd8449b96ed28528960c457.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_0d262cb0377546efba616e0c95b0f2b3.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_12_young-squire_1.mp3,"Teen, Male",,
Shape-shifter (Middle-aged Male),"A middle-aged male shape-shifter with excellent, adaptable audio quality, capable of smooth tonal transitions. Their core voice is alluring, mysterious, and calm, delivered at a measured and deliberate pace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/13_shape-shifter.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_39bac3aaa7cc44c88752c0a37b114884.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_103373750741461797ec4ea6c9cdb22c.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_13_shape-shifter_1.mp3,"Middle-aged, Male",,
Troll under a bridge (Senior Male),"An old, male troll under a bridge, whose voice is low, guttural, and gravelly, sounding rough and slightly muffled with reverberation from his dwelling. He speaks at a slow, ponderous, and deliberate pace, embodying a grumpy, booming, and simple-witted menace.",https://s3.renderplatform.com/public-testing/examples/2025-09-24/15_troll-under-a-bridge.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250918/gr_d53a92a2609244208958fedcb3805491.png,,https://s3.renderplatform.com/user-assets/preview/generated_audio/gr_856c6c4a26e345cfa7e025469bca2a69.mp3,https://s3.renderplatform.com/public-renderplatform/examples/20250919/tts_index_example_15_troll-under-a-bridge_1.mp3,"Senior, Male",,
